v,t,y,x
1,347221453,-74.258,40.916
1,347221153,-74.258,40.916
1,347221153,-74.258,40.918
1,347221453,-74.258,40.918
1,347221453,-74.258,40.92
1,347221153,-74.258,40.92
1,347221153,-74.258,40.922
1,347221453,-74.258,40.922
1,347221453,-74.26,40.922
1,347221153,-74.26,40.922
1,347221153,-74.26,40.92
1,347221453,-74.26,40.92
1,347220553,-74.26,40.92
1,347220553,-74.258,40.92
1,347220853,-74.258,40.92
1,347220853,-74.26,40.92
1,347220853,-74.26,40.922
1,347220853,-74.258,40.922
1,347220553,-74.258,40.922
1,347220553,-74.26,40.922
1,347220553,-74.26,40.924
1,347220553,-74.258,40.924
1,347220853,-74.258,40.924
1,347220853,-74.26,40.924
1,347220853,-74.26,40.926
1,347220853,-74.258,40.926
1,347220553,-74.258,40.926
1,347220553,-74.26,40.926
1,347221453,-74.26,40.926
1,347221153,-74.26,40.926
1,347221153,-74.26,40.924
1,347221453,-74.258,40.924
1,347221153,-74.258,40.924
1,347221153,-74.258,40.926
1,347221453,-74.258,40.926
1,347221453,-74.256,40.926
1,347221453,-74.254,40.926
1,347221153,-74.254,40.926
1,347221153,-74.256,40.926
1,347221153,-74.256,40.924
1,347221153,-74.254,40.924
1,347221453,-74.254,40.924
1,347221453,-74.256,40.924
1,347221453,-74.256,40.922
1,347221153,-74.256,40.922
1,347221153,-74.256,40.92
1,347221453,-74.256,40.92
1,347221453,-74.254,40.92
1,347221153,-74.254,40.92
1,347221153,-74.254,40.922
1,347221453,-74.254,40.922
1,347221453,-74.252,40.922
1,347221153,-74.252,40.922
1,347221153,-74.252,40.92
1,347221453,-74.252,40.92
1,347221453,-74.25,40.92
1,347221153,-74.25,40.92
1,347221153,-74.25,40.922
1,347221453,-74.25,40.922
1,347221453,-74.25,40.924
1,347221453,-74.25,40.926
1,347221453,-74.252,40.926
1,347221453,-74.252,40.924
1,347221153,-74.252,40.924
1,347221153,-74.252,40.926
1,347221153,-74.25,40.926
1,347221153,-74.25,40.924
1,347220853,-74.25,40.924
1,347220853,-74.25,40.926
1,347220853,-74.252,40.926
1,347220853,-74.252,40.924
1,347220553,-74.252,40.924
1,347220553,-74.252,40.926
1,347220553,-74.25,40.926
1,347220553,-74.25,40.924
1,347220553,-74.25,40.922
1,347220853,-74.25,40.922
1,347220853,-74.25,40.92
1,347220553,-74.25,40.92
1,347220553,-74.252,40.92
1,347220853,-74.252,40.92
1,347220853,-74.252,40.922
1,347220553,-74.252,40.922
1,347220553,-74.254,40.922
1,347220853,-74.254,40.922
1,347220853,-74.254,40.92
1,347220553,-74.254,40.92
1,347220553,-74.256,40.92
1,347220853,-74.256,40.92
1,347220853,-74.256,40.922
1,347220553,-74.256,40.922
1,347220553,-74.256,40.924
1,347220553,-74.254,40.924
1,347220853,-74.254,40.924
1,347220853,-74.256,40.924
1,347220853,-74.256,40.926
